#cost_comparison	table01

topic_modeling/input_similarity	table02
topic_modeling/topic_proportion_similarity	table03

classifier_finetuning/datasets_overview	table04
classifier_finetuning/tasks_overview	table05
classifier_finetuning/translation_model_effects	table06

# literature_overview	tableA01
# translation_directions	tableA02

topic_modeling/token_overlap	tableB01
topic_modeling/equivalence_input_similarity	tableB02

classifier_finetuning/label_distribution_by_lang_cmp_translations_sample_topic	tableC01
classifier_finetuning/label_distribution_by_lang_cmp_translations_sample_rile	tableC02
classifier_finetuning/label_distribution_by_lang_cmp_translations_sample_econ_position	tableC03
classifier_finetuning/label_distribution_by_lang_dupont_and_rachuj_2022	tableC04
classifier_finetuning/label_distribution_by_lang_lehmann+zobel_2018	tableC05
classifier_finetuning/label_distribution_by_lang_poljak_2022	tableC06
classifier_finetuning/label_distribution_by_lang_theocharis_et_al_2016	tableC07
classifier_finetuning/translation_costs	tableC08
classifier_finetuning/overall_f1_scores	tableC09
classifier_finetuning/languagewise_f1_scores_cmp_translations_sample	tableC10
classifier_finetuning/languagewise_f1_scores_dupont_and_rachuj_2022	tableC11
classifier_finetuning/languagewise_f1_scores_lehmann+zobel_2018	tableC12
classifier_finetuning/languagewise_f1_scores_poljak_2022	tableC13
classifier_finetuning/languagewise_f1_scores_theocharis_et_al_2016	tableC14
classifier_finetuning/translation_model_effects_appendix	tableC15
classifier_finetuning/translation_model_effects_socialmedia	tableC16
classifier_finetuning/classifiers_f1_equivalence_overall	tableC17
classifier_finetuning/f1_score_regression_mt_type_effects_by_language	tableC18
classifier_finetuning/classifiers_f1_equivalence_by_lang	tableC19
classifier_finetuning/label_agreement_with_deepl	tableC20
